rank,inep_code,school,state,city,school_type,location,students,ch,cn,lc,mt,rd,average_exam
6083,31008753,EE HELENA GUERRA,Minas Gerais,Contagem,Estadual,Urbana,255,517.31,476.98,535.52,528.43,591.22,529.89
6084,31075388,EE ALFREDO LIMA,Minas Gerais,Manhumirim,Estadual,Urbana,41,505.51,483.49,518.35,536.62,605.37,529.87
6085,25125605,COLEGIO ATENEU,Paraíba,João Pessoa,Privada,Urbana,13,508.03,465.82,522.08,501.06,652.31,529.86
6086,33042047,CE CORONEL JOAO LIMONGI,Rio de Janeiro,São José do Vale do Rio Preto,Estadual,Urbana,59,517.93,478.93,525.03,522.55,604.75,529.84
6087,42029961,CEDUP RENATO RAMOS DA SILVA,Santa Catarina,Lages,Estadual,Urbana,77,517.6,499.52,534.03,531,567.01,529.83
6088,16007123,IFAP - CAMPUS LARANJAL DO JARI,Amapá,Laranjal do Jari,Federal,Urbana,133,503.34,477.01,529.29,518.92,620.6,529.83
6089,26178702,ESCOLA DE REFERENCIA EM ENSINO MEDIO DE GARANHUNS,Pernambuco,Garanhuns,Estadual,Urbana,95,518.68,479.89,538.92,513.08,598.53,529.82
6090,35911677,FABIO HACL PINOLA PROF,São Paulo,Nazaré Paulista,Estadual,Urbana,10,552.24,476.49,537.8,510.55,572,529.82
6091,35021684,JOAQUIM DE TOLEDO CAMARGO PROFESSOR,São Paulo,Itirapina,Estadual,Urbana,28,515.24,491.07,527.23,554.04,561.43,529.8
6092,41389506,ADROALDO A COLOMBO C A E EDUC PROFIS,Paraná,Palotina,Estadual,Rural,28,512.48,503.06,512.29,533.24,587.86,529.79
6093,42041910,EEB PADRE NOBREGA,Santa Catarina,Luzerna,Estadual,Urbana,39,517.45,471.09,532.67,547.91,579.49,529.72
6094,35046224,PEDRO MOREIRA MATOS PROF,São Paulo,São Paulo,Estadual,Urbana,16,514.04,465.54,546.24,521.52,601.25,529.72
6095,31081507,EE PROFESSOR HAMILTON LOPES,Minas Gerais,Montes Claros,Estadual,Urbana,119,507.22,482.59,523.75,519.73,615.29,529.72
6096,31042480,EE PROFESSOR CARVALHAIS,Minas Gerais,Divinolândia de Minas,Estadual,Urbana,17,503.11,467.45,510.27,526.58,641.18,529.72
6097,42091233,EEB HORACIO NUNES,Santa Catarina,Irineópolis,Estadual,Urbana,31,527.91,471.83,524.89,538.72,585.16,529.7
6098,41048938,FRANCISCO A ALMEIDA C E EM,Paraná,Conselheiro Mairinck,Estadual,Urbana,18,514.92,457.37,522.94,523.25,630,529.7
6099,43072739,ESC EST ENS MED PROFESSORA ADELAIDE PICOLOTTO,Rio Grande do Sul,Ibiaçá,Estadual,Urbana,17,501.48,497.02,519.29,529.49,601.18,529.69
6100,42055539,EEB DOM PEDRO II,Santa Catarina,Caibi,Estadual,Urbana,29,513.63,465.03,515.69,521.95,631.72,529.61
6101,35025598,CHRISTINO CABRAL PROF,São Paulo,Bauru,Estadual,Urbana,73,525.59,489.84,540.57,529.49,562.47,529.59
6102,31079448,EE PROFESSOR GASTAO VALLE,Minas Gerais,Bocaiúva,Estadual,Urbana,86,506.56,475.51,519.13,507.82,638.84,529.57
6103,23564040,EEEP ANTONIO RODRIGUES DE OLIVEIRA,Ceará,Pedra Branca,Estadual,Urbana,137,506.77,468.59,512.16,528.19,632.12,529.57
6104,31019372,EE JOSE AUGUSTO FERREIRA,Minas Gerais,Caratinga,Estadual,Urbana,46,518.68,481.82,526.15,529.74,591.3,529.54
6105,31118923,EE DONA GUIOMAR DE MELO,Minas Gerais,Patos de Minas,Estadual,Urbana,64,511.8,472.92,524.94,533.62,604.38,529.53
6106,33022275,IE DE NOVA FRIBURGO,Rio de Janeiro,Nova Friburgo,Estadual,Urbana,62,519.31,460.02,531.34,486.03,650.97,529.53
